,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
0,ca7335e2-ef86-43b0-87e0-8aef28c31cf9,Anisa Salsabila,https://play-lh.googleusercontent.com/a/ACg8ocKHo6PratxbbDr3Wwe3DmEvG0-zq9aaqZMkmJQXTshgMWWO-A=mo,"Aplikasinya oke banget. Desainnya enggak norak dan enak dipandang. Navigasi mudah dimengerti, jadi enggak bikin nyasar pas lagi cari fitur. Pembayarannya juga gampang ga bikin ribet bisa pake e-wallet jugaa, plus harganya ga masuk akal lebih murah dibanding yang lain, wajib buat dicoba sih!",5,1,6.23.0,2025-08-27 20:30:07,"Halo kak, terima kasih atas ulasan lengkapnya 🙏 Senang mendengar aplikasi ACI tampil dengan desain yang simpel dan enak dilihat, navigasi mudah dipahami, serta pembayaran praktis termasuk e-wallet. 💳✨ Ditambah harga yang lebih murah, semoga makin nyaman dan bermanfaat untuk kakak. 🚀 -ARS",2025-08-27 22:12:48,6.23.0
1,b4b5caa8-a22a-4c03-b1ff-3dbf53d74357,retno wulan,https://play-lh.googleusercontent.com/a-/ALV-UjUMsnUMVzUyYkNYsxEIQc2MV756uMMOBTALYX5f8lJbRy_fgQZ-,"ACI memang aplikasi transportasi online yang terbaik deh, tarifnya lebih terjangkau dibandingkan competitor lain dan juga untuk ACI food harganya juga sangat murah. apalagi kita bisa pilih metode pembayaran sesuai keinginan kita mau bayar tunai atau pakai e-wallet juga bisa. praktis banget pokoknya",5,1,6.23.0,2025-08-27 19:30:15,"Halo kak, terima kasih atas ulasan positifnya. Kami senang ACI bisa jadi pilihan terbaik dengan tarif transportasi lebih terjangkau, ACI Food dengan harga murah, serta kemudahan memilih metode pembayaran baik tunai maupun e-wallet. Semoga ACI terus memberi pengalaman praktis untuk kakak. -ARS",2025-08-28 08:55:20,6.23.0
2,aecd39f0-223e-4e9f-8db7-2b5f8558b91b,aulia rahmi,https://play-lh.googleusercontent.com/a-/ALV-UjUNeSIFf2kk8vQaKR0iL8QQ65fDIpfyQs0IT5Ff8mgUUAfSncra,"Awalnya aku iseng coba ACI karena lihat temen sering pakai. Ternyata pas aku cobain, ongkos Ride-nya jauh lebih murah dari aplikasi lain! Terus aku iseng order makan lewat ACI Food, harganya beneran kayak harga di resto tapi bisa delivery.",5,0,6.23.0,2025-08-27 19:41:29,"Halo kak, terima kasih sudah mencoba ACI. Senang sekali mendengar tarif Ride yang lebih murah dan ACI Food dengan harga sama seperti resto tapi tetap bisa delivery membuat pengalaman kakak menyenangkan. Kami akan terus menghadirkan layanan yang hemat dan praktis untuk pengguna. -ARS",2025-08-28 08:26:16,6.23.0
3,95b8d90d-d164-43f2-ba28-331019897a91,Elsa Indri,https://play-lh.googleusercontent.com/a-/ALV-UjW6ic5HnOAGK02CBoP9CvI--wc10Td_ykxXy7YJFnK9zHN2GNk,transportasi yg sangat amat nyaman di gunakan terlebih lagi harganya lebih murah dan pembayaran juga bisa menggunakan qris bagi kaum yg malas buat tarik tunai untuk bayar transportasi bisa banget gunain ini,5,0,6.23.0,2025-08-27 19:56:41,"Halo kak, terima kasih atas ulasannya 🙏 Senang mendengar ACI memberikan kenyamanan transportasi dengan tarif lebih murah serta kemudahan pembayaran via QRIS tanpa perlu tarik tunai. Semoga selalu praktis dan bermanfaat untuk kebutuhan sehari-hari kakak. -ARS",2025-08-27 22:35:17,6.23.0
4,2357373e-e7a0-4f36-a541-0b1ca4de8caf,Achmad Khotibul Umam,https://play-lh.googleusercontent.com/a-/ALV-UjX2My8wq0_Gq_7hL86jP51Gu8FV9qleDI3NpWAv0A1ws-sB-2a3,Aplikasi belum matang. 1. Verifikasi nomor via WA maupun Telpon masih belum bisa 2. Upload foto profil gk tampil 3. Penambahan alamat tidam muncul di form kabupaten/kota Tolong segera lakukan maintenance,4,0,6.23.0,2025-08-18 14:41:45,"Halo Kak Achmad Khotibul Umam, terima kasih atas masukan detailnya 🙏 Mohon maaf atas kendala yang dialami terkait verifikasi nomor, upload foto profil, dan penambahan alamat. Feedback ini sudah kami teruskan ke tim teknis untuk segera dilakukan perbaikan/maintenance. Kami berkomitmen agar aplikasi ACI semakin stabil dan nyaman digunakan.-ARS",2025-08-19 09:39:17,6.23.0
5,130df7ba-be98-48c4-a4f0-b2dd90402cbf,silfia permata,https://play-lh.googleusercontent.com/a-/ALV-UjXyGCxaAA1f52t5YYgjt7rnSBbAu9L-FLnP4W6_2Y2jLSsfby0C,"pertama kali nyobain aplikasi ini langsung suka banget sama aplikasinya karena harga di ACI Ride lebih murah daripada di competitor lain dan ada program CSR antar jemput gratis ke sekolah bagi anak yatim, piatu dan dhuafa, drivernya sangat ramah, bisa melakukan pembayaran deng qris tanpa perlu isi saldo yuk buruan cobainn👍🏻",5,0,6.23.0,2025-08-27 19:53:44,"Halo kak, terima kasih atas ulasan hangatnya 🙏 Senang mendengar pengalaman pertama dengan ACI langsung berkesan, mulai dari tarif Ride yang lebih murah, program CSR antar jemput gratis untuk anak yatim, piatu, dan dhuafa, driver ramah, hingga kemudahan bayar pakai QRIS tanpa isi saldo. Semoga selalu memberi manfaat terbaik untuk kakak. -ARS",2025-08-27 22:37:21,6.23.0
6,1dbc3187-4c26-4fa4-93a8-e32baad11dcc,Nayla Khalda Salsabila,https://play-lh.googleusercontent.com/a-/ALV-UjWc-S8Gg4lSARLy9vjVsT-LaZjhPgujna_1SYkq7CKsDnYmCssP,"ACI keren banget! Harga ride lebih murah dari kompetitor, food semurah resto, drivernya ramah, pengiriman bisa multi destinasi, tarif hemat, dan banyak pilihan pembayaran termasuk QRIS jadi nggak ribet top up.",5,0,6.23.0,2025-08-27 19:40:16,"Halo kak, terima kasih banyak atas apresiasinya. Kami senang ACI bisa menghadirkan layanan lengkap mulai dari ride dengan tarif hemat, food dengan harga resto, driver ramah, pengiriman multi destinasi, hingga pembayaran beragam termasuk QRIS yang praktis tanpa top up. Semoga ACI selalu jadi andalan kakak. -ARS",2025-08-28 08:27:04,6.23.0
7,8ac933e2-bf83-4952-b5db-66f756f4c46d,Jaka Marwanta,https://play-lh.googleusercontent.com/a/ACg8ocJIvUtlbjiI89ADhpm9Dwm_T5lmalomUIo_EHnAvdEmWjehKQ=mo,"Sungguh efektif banget pakai ACI. Tarif pengiriman lebih murah, fiturnya lengkap, bayar bisa pakai qris, dan banyak promo menarik lainya",5,0,6.23.0,2025-08-27 20:28:31,"Halo kak, terima kasih atas ulasan positifnya 🙏 Senang mendengar ACI efektif membantu dengan tarif pengiriman lebih murah, fitur lengkap, pembayaran via QRIS, serta promo menarik. 🚗💳✨ Semoga pengalaman kakak selalu menyenangkan bersama ACI. -ARS",2025-08-27 22:13:19,6.23.0
8,434656a5-99d5-43c9-b1ae-9649347210f1,belover Id,https://play-lh.googleusercontent.com/a/ACg8ocI0n1RyNSgGjUYMla1cVwhmwYI8_kAix2Ug7atkP4uhq-_PZg=mo,"aplikasi ini lebih hemat karna tarifnya sangat murah, dan skrng sdh bisa bayar pakai qris tnpa pergi top up jdi lebih mudah dan cepat",5,0,6.23.0,2025-08-27 19:37:28,"Halo kak, terima kasih atas ulasannya. Kami senang ACI bisa membantu dengan tarif yang hemat serta kemudahan pembayaran menggunakan QRIS tanpa perlu top up, sehingga transaksi jadi lebih cepat dan praktis. Kami akan terus berinovasi agar layanan semakin nyaman untuk kakak. -ARS",2025-08-28 08:28:47,6.23.0
9,c1a944b2-42e1-4a6b-b9ef-57560dbcfaff,Rahma Anggraeni,https://play-lh.googleusercontent.com/a/ACg8ocJ2brcmV4HSt4zInbQpI3Slvne8j4iv0XlAMABiamsJVDuc4g=mo,harga makanan nya sangat terjangkau dan untuk pembayaran nya pun banyak pilihan bisa tunai dan non tunai dan biaya ongkir nya pun sangat murah,5,0,6.23.0,2025-08-27 19:46:28,"Halo kak, terima kasih atas ulasannya. Senang mendengar harga makanan di ACI terasa terjangkau, pilihan pembayaran lengkap baik tunai maupun non tunai, serta ongkir yang hemat. Kami akan terus berusaha memberikan layanan yang nyaman dan ramah di kantong agar semakin bermanfaat bagi pengguna. -ARS",2025-08-28 08:23:54,6.23.0
